robot_count,replications,total_completion_time_mean,total_completion_time_std,total_completion_time_ci95,average_task_completion_time_mean,average_task_completion_time_std,average_task_completion_time_ci95,throughput_mean,throughput_std,throughput_ci95,robot_utilization_mean,robot_utilization_std,robot_utilization_ci95,average_waiting_time_mean,average_waiting_time_std,average_waiting_time_ci95,total_distance_mean,total_distance_std,total_distance_ci95,blocked_waiting_count_mean,blocked_waiting_count_std,blocked_waiting_count_ci95
2,100,996.92,50.7012800428135,9.937450888391446,437.9519,25.400848219949847,4.97856625111017,0.10056318872683534,0.005061860185350112,0.000992124596328622,0.9917126634476188,0.005183073050327395,0.0010158823178641695,0.0,0.0,0.0,1977.29,100.47486192470173,19.69307293724154,0.0,0.0,0.0
4,100,506.55,25.85795503097332,5.068159186070771,224.14430000000004,12.416336359649717,2.4336019264913444,0.1979163113012915,0.009966517018282,0.0019534373355832723,0.9686370145970775,0.010830668847876049,0.0021228110941837056,3.2325,1.179183397461347,0.23111994590242402,1962.57,100.81478717495422,19.759698286291027,12.93,4.716733589845388,0.9244797836096961
6,100,346.88,18.11036870263702,3.5496322657168564,154.3799,8.16397809733327,1.600139707077321,0.2890555415621542,0.014958554225297998,0.0029318766281584076,0.9444668433923408,0.015013357217706897,0.002942618014670552,4.441666666666666,1.3158310437050809,0.2579028845661958,1965.28,99.18466401494524,19.440194146929265,26.65,7.894986262230486,1.547417307397175
8,100,268.28,13.72241401738945,2.689593147408332,120.1151,5.873289735159616,1.1511647880912848,0.37369887232638066,0.018883040730492597,0.0037010759831765487,0.9198571975070737,0.017587770234944247,0.0034472029660490727,4.9025,1.4219575886215396,0.27870368736982176,1973.73,97.97751288077805,19.203592524632498,39.22,11.375660708972317,2.229629498958574
