robot_count,completed_tasks,total_completion_time,average_task_completion_time,throughput,robot_utilization,average_waiting_time,total_distance,blocked_waiting_count,replication,seed
2,100,1118,497.45,0.08944543828264759,0.9874776386404294,0.0,2208,0,65,1064
2,100,1022,471.09,0.09784735812133072,0.9980430528375733,0.0,2040,0,66,1065
2,100,915,407.37,0.1092896174863388,0.9972677595628415,0.0,1825,0,67,1066
2,100,979,426.35,0.10214504596527069,0.9846782431052093,0.0,1928,0,68,1067
2,100,983,447.26,0.1017293997965412,0.9979654120040692,0.0,1962,0,69,1068
2,100,949,435.66,0.1053740779768177,0.9905163329820864,0.0,1880,0,70,1069
2,100,1012,465.72,0.09881422924901186,0.9901185770750988,0.0,2004,0,71,1070
2,100,935,431.99,0.10695187165775401,0.9903743315508021,0.0,1852,0,72,1071
2,100,957,404.6,0.1044932079414838,0.9937304075235109,0.0,1902,0,73,1072
2,100,972,432.83,0.102880658436214,0.9938271604938271,0.0,1932,0,74,1073
2,100,891,397.25,0.1122334455667789,0.9882154882154882,0.0,1761,0,75,1074
2,100,997,432.81,0.10030090270812438,0.9854563691073219,0.0,1965,0,76,1075
2,100,1037,456.74,0.09643201542912247,0.9942140790742526,0.0,2062,0,77,1076
2,100,1076,468.57,0.09293680297397769,0.9995353159851301,0.0,2151,0,78,1077
2,100,940,414.21,0.10638297872340426,0.9989361702127659,0.0,1878,0,79,1078
2,100,1024,459.02,0.09765625,0.9951171875,0.0,2038,0,80,1079
2,100,964,411.91,0.1037344398340249,0.9880705394190872,0.0,1905,0,81,1080
2,100,980,428.86,0.10204081632653061,0.986734693877551,0.0,1934,0,82,1081
2,100,1004,466.18,0.099601593625498,0.9995019920318725,0.0,2007,0,83,1082
2,100,938,414.31,0.10660980810234541,0.9840085287846482,0.0,1846,0,84,1083
2,100,988,432.97,0.10121457489878542,0.9893724696356275,0.0,1955,0,85,1084
2,100,939,386.9,0.10649627263045794,0.9936102236421726,0.0,1866,0,86,1085
2,100,917,402.77,0.10905125408942203,0.9961832061068703,0.0,1827,0,87,1086
2,100,967,424.48,0.10341261633919338,0.9829369183040331,0.0,1901,0,88,1087
2,100,1026,434.79,0.09746588693957114,0.9926900584795322,0.0,2037,0,89,1088
2,100,992,451.11,0.10080645161290322,0.9949596774193549,0.0,1974,0,90,1089
2,100,920,392.1,0.10869565217391304,0.9934782608695653,0.0,1828,0,91,1090
2,100,985,442.43,0.10152284263959391,0.9949238578680203,0.0,1960,0,92,1091
2,100,1066,458.12,0.09380863039399624,0.9962476547842402,0.0,2124,0,93,1092
2,100,1065,483.46,0.09389671361502347,0.9976525821596244,0.0,2125,0,94,1093
2,100,1050,451.35,0.09523809523809523,0.991904761904762,0.0,2083,0,95,1094
2,100,968,462.41,0.10330578512396695,0.9979338842975206,0.0,1932,0,96,1095
2,100,1027,459.66,0.09737098344693282,0.9907497565725414,0.0,2035,0,97,1096
2,100,1014,432.69,0.09861932938856016,0.9995069033530573,0.0,2027,0,98,1097
2,100,1073,476.68,0.09319664492078285,0.9958061509785647,0.0,2137,0,99,1098
2,100,926,405.24,0.1079913606911447,0.9859611231101512,0.0,1826,0,100,1099
