time,waiting_tasks,completed_tasks,active_robots,blocked_robots
359,20,76,4,0
360,20,76,4,0
361,20,76,4,0
362,20,76,4,0
363,20,76,4,0
364,20,76,4,0
365,20,76,4,0
366,20,76,4,0
367,20,76,4,0
368,20,76,4,0
369,20,76,4,0
370,20,76,4,0
371,20,76,4,0
372,20,77,3,0
373,19,77,4,0
374,19,77,4,0
375,19,77,4,0
376,19,77,4,0
377,19,77,4,0
378,19,77,4,0
379,19,77,4,0
380,19,77,4,0
381,19,78,3,0
382,18,78,4,0
383,18,78,4,0
384,18,79,3,0
385,17,79,4,0
386,17,79,4,0
387,17,79,4,0
388,17,80,3,0
389,16,80,4,0
390,16,80,4,0
391,16,80,4,0
392,16,80,4,0
393,16,80,4,0
394,16,80,4,0
395,16,80,4,0
396,16,80,4,0
397,16,80,4,0
398,16,80,4,0
399,16,80,4,0
400,16,80,4,0
401,16,80,4,0
402,16,80,4,0
403,16,80,4,0
404,16,81,3,0
405,15,82,3,0
406,14,82,4,0
407,14,82,4,0
408,14,82,4,0
409,14,82,4,0
410,14,82,4,0
411,14,82,4,0
412,14,82,4,0
413,14,82,4,0
414,14,82,4,0
415,14,82,4,0
416,14,83,3,0
417,13,83,4,0
418,13,83,4,0
419,13,83,4,0
420,13,83,4,0
421,13,83,4,0
422,13,84,3,0
423,12,84,4,0
424,12,84,4,0
425,12,84,4,0
426,12,85,3,0
427,11,85,4,0
428,11,85,4,0
429,11,86,3,0
430,10,86,4,0
431,10,86,4,0
432,10,86,4,0
433,10,86,4,0
434,10,86,4,0
435,10,86,4,0
436,10,86,4,0
437,10,86,4,0
438,10,86,4,0
439,10,87,3,0
440,9,87,4,0
441,9,87,4,0
442,9,88,3,0
443,8,88,4,0
444,8,88,4,0
445,8,88,4,0
446,8,88,4,0
447,8,88,4,0
448,8,88,4,0
449,8,88,4,0
450,8,88,4,0
451,8,88,4,0
452,8,89,3,0
453,7,89,4,0
454,7,89,4,0
455,7,89,4,0
456,7,89,4,0
457,7,89,4,0
458,7,89,4,0
459,7,89,4,0
460,7,89,4,0
461,7,89,4,0
462,7,89,4,0
463,7,90,3,0
464,6,90,4,0
465,6,90,4,0
466,6,91,3,0
467,5,91,4,0
468,5,91,4,0
469,5,91,4,0
470,5,91,4,0
471,5,91,4,0
472,5,91,4,0
473,5,91,4,0
474,5,91,4,0
475,5,91,4,0
476,5,91,4,0
477,5,91,4,0
478,5,91,4,0
479,5,92,3,0
480,4,92,4,0
481,4,92,4,0
482,4,93,3,0
483,3,93,4,0
484,3,93,4,0
485,3,93,4,0
486,3,93,4,0
487,3,93,4,0
488,3,93,4,0
489,3,93,4,0
490,3,93,4,0
491,3,93,4,0
492,3,93,4,0
493,3,93,4,0
494,3,93,4,0
495,3,94,3,0
496,2,94,4,0
497,2,94,4,0
498,2,94,4,0
499,2,94,4,0
500,2,94,4,0
501,2,94,4,0
502,2,94,4,0
503,2,94,4,0
504,2,94,3,1
505,2,94,4,0
506,2,94,4,0
507,2,94,4,0
508,2,94,4,0
509,2,94,4,0
510,2,94,4,0
511,2,96,2,0
512,0,96,4,0
513,0,96,4,0
514,0,96,4,0
515,0,96,4,0
516,0,96,4,0
517,0,96,4,0
518,0,96,4,0
519,0,96,4,0
520,0,96,4,0
521,0,96,4,0
522,0,96,4,0
523,0,96,4,0
524,0,96,4,0
525,0,96,4,0
526,0,96,4,0
527,0,96,4,0
528,0,97,3,0
529,0,99,1,0
530,0,99,1,0
531,0,99,1,0
532,0,99,1,0
533,0,99,1,0
534,0,99,1,0
535,0,99,1,0
536,0,99,1,0
537,0,99,1,0
538,0,99,1,0
539,0,99,1,0
540,0,99,1,0
541,0,99,1,0
542,0,99,1,0
543,0,99,1,0
544,0,99,1,0
545,0,99,1,0
546,0,99,1,0
547,0,99,1,0
548,0,99,1,0
549,0,99,1,0
550,0,99,1,0
551,0,99,1,0
552,0,99,1,0
553,0,99,1,0
554,0,99,1,0
555,0,99,1,0
556,0,100,0,0
