time,waiting_tasks,completed_tasks,active_robots,blocked_robots
1,94,0,6,0
2,94,0,6,0
3,94,0,6,0
4,94,0,6,0
5,94,0,6,0
6,94,0,6,0
7,94,0,6,0
8,94,0,6,0
9,94,0,6,0
10,94,0,6,0
11,94,0,6,0
12,94,2,4,0
13,92,2,6,0
14,92,2,6,0
15,92,2,6,0
16,92,2,6,0
17,92,3,5,0
18,91,3,6,0
19,91,4,5,0
20,90,4,5,1
21,90,4,4,2
22,90,4,5,1
23,90,6,4,0
24,88,6,5,1
25,88,6,6,0
26,88,6,6,0
27,88,6,6,0
28,88,6,6,0
29,88,6,6,0
30,88,8,4,0
31,86,8,6,0
32,86,9,5,0
33,85,9,6,0
34,85,10,5,0
35,84,10,6,0
36,84,10,6,0
37,84,10,6,0
38,84,11,5,0
39,83,11,6,0
40,83,11,6,0
41,83,13,4,0
42,81,13,6,0
43,81,13,6,0
44,81,13,6,0
45,81,13,6,0
46,81,14,5,0
47,80,14,6,0
48,80,14,6,0
49,80,15,5,0
50,79,15,6,0
51,79,16,5,0
52,78,16,6,0
53,78,18,4,0
54,76,18,5,1
55,76,18,6,0
56,76,19,5,0
57,75,19,6,0
58,75,19,6,0
59,75,20,5,0
60,74,20,6,0
61,74,20,6,0
62,74,21,5,0
63,73,21,6,0
64,73,21,6,0
65,73,22,5,0
66,72,22,6,0
67,72,22,6,0
68,72,22,6,0
69,72,22,6,0
70,72,22,6,0
71,72,22,6,0
72,72,24,4,0
73,70,24,6,0
74,70,24,6,0
75,70,24,6,0
76,70,25,5,0
77,69,28,3,0
78,66,28,6,0
79,66,28,6,0
80,66,28,6,0
81,66,28,6,0
82,66,29,5,0
83,65,29,6,0
84,65,29,5,1
85,65,29,6,0
86,65,29,6,0
87,65,30,5,0
88,64,31,5,0
89,63,31,6,0
90,63,32,5,0
91,62,32,6,0
92,62,32,6,0
93,62,33,4,1
94,61,33,6,0
95,61,33,6,0
96,61,33,6,0
97,61,33,6,0
98,61,33,6,0
99,61,34,5,0
100,60,34,6,0
101,60,35,5,0
102,59,35,6,0
103,59,35,6,0
104,59,36,5,0
105,58,36,6,0
106,58,36,6,0
107,58,37,5,0
108,57,37,6,0
109,57,38,5,0
110,56,38,6,0
111,56,38,6,0
112,56,38,6,0
113,56,39,5,0
114,55,39,6,0
115,55,39,6,0
116,55,39,6,0
117,55,39,6,0
118,55,40,5,0
119,54,40,6,0
120,54,41,5,0
121,53,42,5,0
122,52,42,6,0
123,52,42,6,0
124,52,42,6,0
125,52,44,4,0
126,50,44,6,0
127,50,44,6,0
128,50,44,6,0
129,50,44,6,0
130,50,44,6,0
131,50,44,6,0
132,50,44,6,0
133,50,44,6,0
134,50,44,6,0
135,50,45,5,0
136,49,45,6,0
137,49,46,5,0
138,48,46,6,0
139,48,47,5,0
140,47,48,5,0
141,46,48,6,0
142,46,48,6,0
143,46,49,5,0
144,45,49,6,0
145,45,49,6,0
146,45,49,6,0
147,45,49,6,0
148,45,49,6,0
149,45,50,5,0
150,44,50,6,0
151,44,51,4,1
152,43,51,6,0
153,43,51,6,0
154,43,51,6,0
155,43,52,5,0
156,42,52,6,0
157,42,53,5,0
158,41,54,5,0
159,40,54,6,0
160,40,54,6,0
161,40,54,6,0
162,40,54,6,0
163,40,54,6,0
164,40,54,6,0
165,40,55,5,0
166,39,55,6,0
167,39,56,5,0
168,38,56,6,0
169,38,57,5,0
170,37,57,6,0
171,37,57,6,0
172,37,57,6,0
173,37,57,6,0
174,37,57,6,0
175,37,57,6,0
176,37,57,6,0
177,37,57,6,0
178,37,57,6,0
179,37,58,5,0
180,36,60,4,0
181,34,62,4,0
182,32,62,6,0
183,32,62,6,0
184,32,62,5,1
185,32,62,6,0
186,32,62,6,0
187,32,62,6,0
188,32,62,6,0
189,32,62,6,0
190,32,62,6,0
191,32,63,5,0
192,31,63,6,0
193,31,63,6,0
194,31,63,6,0
195,31,63,6,0
196,31,63,6,0
197,31,64,5,0
198,30,64,6,0
199,30,64,6,0
200,30,64,6,0
201,30,64,6,0
202,30,64,6,0
203,30,64,6,0
204,30,65,5,0
205,29,66,5,0
206,28,67,5,0
207,27,67,6,0
208,27,67,6,0
209,27,67,6,0
210,27,67,6,0
211,27,67,6,0
212,27,67,6,0
213,27,69,4,0
214,25,69,5,1
215,25,70,4,1
216,24,70,6,0
217,24,70,6,0
218,24,71,5,0
219,23,71,6,0
220,23,71,6,0
221,23,71,6,0
222,23,71,6,0
223,23,71,6,0
224,23,71,6,0
225,23,71,6,0
226,23,72,5,0
227,22,72,6,0
228,22,72,6,0
229,22,73,5,0
230,21,73,6,0
231,21,73,6,0
232,21,73,6,0
233,21,73,6,0
234,21,73,6,0
235,21,74,5,0
236,20,74,6,0
237,20,74,6,0
238,20,74,6,0
239,20,74,6,0
240,20,74,6,0
241,20,74,6,0
242,20,74,6,0
243,20,74,6,0
244,20,76,4,0
245,18,76,6,0
246,18,76,6,0
247,18,76,6,0
248,18,76,6,0
249,18,76,6,0
250,18,77,5,0
251,17,77,6,0
252,17,78,5,0
253,16,78,6,0
254,16,78,6,0
255,16,78,6,0
256,16,78,6,0
257,16,78,6,0
258,16,78,6,0
259,16,79,5,0
260,15,79,6,0
261,15,79,6,0
262,15,79,6,0
263,15,79,6,0
264,15,79,6,0
265,15,79,6,0
266,15,79,6,0
267,15,80,5,0
268,14,80,6,0
269,14,80,6,0
270,14,80,6,0
271,14,80,6,0
272,14,80,6,0
273,14,80,6,0
274,14,80,6,0
275,14,80,6,0
276,14,80,6,0
277,14,81,5,0
278,13,81,6,0
279,13,81,6,0
280,13,81,6,0
281,13,82,5,0
282,12,82,6,0
283,12,83,5,0
284,11,83,6,0
285,11,83,6,0
286,11,83,6,0
287,11,83,6,0
288,11,84,5,0
289,10,86,4,0
290,8,86,6,0
291,8,86,6,0
292,8,86,6,0
293,8,86,5,1
294,8,86,4,2
295,8,86,5,1
296,8,86,6,0
297,8,86,6,0
298,8,86,6,0
299,8,87,5,0
300,7,87,6,0
301,7,87,6,0
302,7,87,6,0
303,7,87,6,0
304,7,87,6,0
305,7,87,6,0
306,7,87,6,0
307,7,87,6,0
308,7,87,6,0
309,7,87,6,0
310,7,87,6,0
311,7,87,6,0
312,7,88,5,0
313,6,88,6,0
314,6,89,5,0
315,5,90,5,0
316,4,90,6,0
317,4,90,6,0
318,4,90,6,0
319,4,91,5,0
320,3,91,6,0
321,3,91,6,0
322,3,92,5,0
323,2,92,6,0
324,2,92,6,0
325,2,92,6,0
326,2,92,6,0
327,2,92,6,0
328,2,92,6,0
329,2,93,5,0
330,1,93,6,0
331,1,94,5,0
332,0,94,6,0
333,0,94,6,0
334,0,94,6,0
335,0,94,6,0
336,0,94,6,0
337,0,94,6,0
338,0,94,6,0
339,0,94,6,0
340,0,94,5,1
341,0,94,6,0
342,0,94,6,0
343,0,94,6,0
344,0,94,6,0
345,0,94,6,0
346,0,96,4,0
347,0,96,4,0
348,0,96,4,0
349,0,96,4,0
350,0,97,3,0
351,0,97,3,0
352,0,97,3,0
353,0,97,3,0
354,0,97,3,0
355,0,97,3,0
356,0,97,3,0
357,0,97,3,0
358,0,97,3,0
359,0,97,3,0
360,0,97,3,0
361,0,97,3,0
362,0,97,3,0
363,0,97,3,0
364,0,97,3,0
365,0,98,2,0
366,0,98,2,0
367,0,98,2,0
368,0,99,1,0
369,0,99,1,0
370,0,99,1,0
371,0,99,1,0
372,0,99,1,0
373,0,99,1,0
374,0,100,0,0
